pillar,area,item_id,title,detection_source,detection_signal,doctor_check_id,status,reference_url
OperationalExcellence,Governance,waf.opex.results_gitignored,Eval results are not committed to git,workspace_files,.agentops/results/ entry in any reachable .gitignore,opex.results_not_gitignored,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Governance,waf.opex.dataset_versioned,Dataset YAML files declare a version,workspace_files,.agentops/datasets/*.yaml has a top-level version: field,opex.unversioned_dataset,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Telemetry,waf.opex.stale_evaluation,Evaluations are run regularly,results_history,latest run timestamp older than stale_after_days,opex.stale_evaluation,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
Quality,Regression,waf.quality.metric_drop,No regression in evaluation metrics,results_history,latest_metric - baseline_metric > threshold_drop,regression,implemented,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-approach-gen-ai
Performance,Latency,waf.perf.latency_threshold,p95 and eval-average latency under threshold,azure_monitor + results_history,"p95_seconds > p95_threshold_seconds or avg_latency > threshold",latency,implemented,https://learn.microsoft.com/azure/well-architected/ai/performance-efficiency
Reliability,Telemetry,waf.reliability.production_error_rate,Production error rate under threshold,azure_monitor,error_rate > rate_threshold,errors.production_rate,implemented,https://learn.microsoft.com/azure/well-architected/ai/reliability
Reliability,Telemetry,waf.reliability.foundry_run_failures,Foundry agent runs not failing,foundry_control,foundry.failure_rate > rate_threshold,errors.foundry_runs,implemented,https://learn.microsoft.com/azure/well-architected/ai/reliability
Reliability,Telemetry,waf.reliability.no_runtime_telemetry,Production telemetry is wired to the agent,azure_monitor,monitor.status == ok and request_count == 0 over lookback,errors.no_runtime_telemetry,implemented,https://learn.microsoft.com/azure/well-architected/ai/reliability
OperationalExcellence,Governance,waf.opex.bundle_versioned,Bundle YAML files declare a version,workspace_files,.agentops/bundles/*.yaml has a top-level version: field,opex.unversioned_bundle,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Retention,waf.opex.results_dir_bloat,Eval results directory has an archival policy,workspace_files,.agentops/results/ holds <= 50 run folders,opex.results_dir_bloat,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Stability,waf.opex.flaky_metric,Eval metrics are stable across runs,results_history,coefficient of variation across last N runs < flaky_cv_threshold,opex.flaky_metric,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Cost,waf.opex.workflow_concurrency,AgentOps workflows declare a concurrency block,workspace_files,agentops-pr.yml / agentops-deploy-*.yml has a top-level concurrency: block,opex.workflow_concurrency_lock,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Reproducibility,waf.opex.workflow_action_pinning,AgentOps workflows pin actions by commit SHA,workspace_files,every uses: pins to a 40-char SHA,opex.workflow_action_sha_pinning,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Foundry,waf.opex.foundry_control_configured,Foundry control plane source is wired,foundry_control,foundry_control.diagnostics.status == ok,opex.no_foundry_control_configured,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
ResponsibleAI,Transparency,waf.rai.prompt_transparency,Agent system prompt declares AI nature and source citation,foundry_control,LLM judges agent instructions for AI-disclosure / source-citation / role-scope,responsible_ai.llm.prompt_transparency,implemented,https://learn.microsoft.com/azure/well-architected/ai/responsible-ai
ResponsibleAI,SafetyGuardrails,waf.rai.prompt_safety_guardrails,Agent system prompt has explicit refusal patterns,foundry_control,LLM judges instructions for refusal guidance across the four harm categories,responsible_ai.llm.prompt_safety_guardrails,implemented,https://learn.microsoft.com/azure/well-architected/ai/responsible-ai
ResponsibleAI,SafetyGuardrails,waf.rai.prompt_jailbreak_surface,Agent system prompt resists jailbreak / injection trapdoors,foundry_control,LLM scans instructions for override-phrasing / embedded secrets / unbounded role-play,responsible_ai.llm.prompt_jailbreak_surface,implemented,https://learn.microsoft.com/azure/well-architected/ai/responsible-ai
ResponsibleAI,Privacy,waf.rai.dataset_pii_risk,Evaluation dataset is free of PII,workspace_files,LLM scans .agentops/data/*.jsonl sample for personal information,responsible_ai.llm.dataset_pii_risk,implemented,https://learn.microsoft.com/azure/well-architected/ai/responsible-ai
ResponsibleAI,Fairness,waf.rai.dataset_bias_signals,Evaluation dataset covers diverse cohorts,workspace_files,LLM judges dataset sample for demographic / role / domain / tone skew,responsible_ai.llm.dataset_bias_signals,implemented,https://learn.microsoft.com/azure/well-architected/ai/responsible-ai
OperationalExcellence,EvaluatorCoverage,waf.opex.llm_bundle_coverage,Bundle covers the evaluators the agent needs,workspace_files,LLM compares bundle YAML against agent description and recommends missing built-ins,opex.llm.bundle_coverage,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.spec_present,Spec-driven scaffolding has spec content,workspace_files,detector hint paths present but no spec document found,opex.spec_conformance.spec_missing,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.tasks_fresh,Spec tasks are kept fresh,workspace_files,tasks.md unchecked items older than stale_after_days,opex.spec_conformance.tasks_stale,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.tasks_grounded,Completed spec tasks reference paths that exist,workspace_files,checked task references a path missing from the workspace,opex.spec_conformance.tasks_orphaned,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.evaluator_alignment,Spec evaluators match bundle evaluators,workspace_files,evaluator mentioned in spec absent from every bundle YAML,opex.spec_conformance.evaluator_drift,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.dataset_alignment,Spec datasets exist in workspace,workspace_files,dataset mentioned in spec absent from .agentops/datasets or .agentops/data,opex.spec_conformance.dataset_drift,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.agent_alignment,Spec agent id matches run.yaml,workspace_files,spec mentions an agent_id that doesn't match run.yaml target.endpoint.agent_id,opex.spec_conformance.agent_drift,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,Documentation,waf.opex.llm_spec_implementation_gap,LLM judge cross-checks spec vs implementation,workspace_files,LLM judge compares spec capabilities to workspace fingerprint,opex.spec_conformance.llm.implementation_gap,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
